beta,alpha,rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.1,0.2800000000000001,0.5400617248673217,0.1443375672974064,4.019674802544387e-06,0.4996276991809382,0.3118279569892472,0.8935523114355232,0.4791666666666667,0.0404691696166992,4,10,5.0,1.0,1.0,1,4,4,4
0.1,0.3200000000000001,0.1767766952966369,0.0,9.999999999999994e-08,0.9194405594405596,1.0,0.9851160944631872,1.0,0.0392825603485107,4,10,4.0,0.0,0.0,1,4,1,4
0.1,0.34000000000000014,1.3030413142593242,0.3679900360969936,5.263517034741463e-06,-0.0002556890820764,-0.1073646850044367,0.5448325933372427,-0.1026293469041557,0.0495445728302001,4,10,4.0,2.0,0.0,1,4,16,4
0.1,0.35000000000000014,0.3535533905932738,0.1020620726159657,5.817243549258298e-07,0.8540848638378721,-0.0105263157894739,0.9592100343315544,-0.0101010101010103,0.0395195484161376,4,10,5.0,1.0,0.0,1,4,8,4
0.1,0.37000000000000016,0.1767766952966369,0.0,9.999999999999994e-08,0.7880794701986755,1.0,0.9858028488949884,1.0,0.0370044708251953,4,10,3.0,0.0,0.0,1,4,1,4
0.1,0.3900000000000002,0.6454972243679028,0.25,9.654943630052805e-07,0.8260790796684633,0.109737248840804,0.9145299145299144,0.2146596858638743,0.0436329841613769,4,10,8.0,2.0,1.0,1,4,6,4
0.1,0.4300000000000002,0.568257570707744,0.0,9.999999999999994e-08,0.7747502270663034,1.0,0.9083274189732672,1.0,0.0478062629699707,4,10,6.0,0.0,0.0,1,4,1,4
0.1,0.46000000000000024,0.3535533905932738,0.0,9.999999999999994e-08,0.7125031195408038,1.0,0.9586933324154074,1.0,0.0381805896759033,4,10,5.0,0.0,0.0,1,4,1,4
0.1,0.49000000000000027,0.1767766952966369,0.0,9.999999999999994e-08,0.6785714285714286,1.0,0.9792516771560964,1.0,0.040316104888916,4,10,2.0,0.0,0.0,1,4,1,4
0.1,0.5000000000000002,0.9071475440448852,0.3679900360969936,5.705419927356249e-06,0.2019362306640009,-0.1073646850044367,0.6562078419426434,-0.0350318471337578,0.0426390171051025,4,10,3.0,2.0,0.0,1,4,8,4
0.1,0.5100000000000002,0.1443375672974064,0.0,9.999999999999994e-08,0.3118279569892472,1.0,0.9898042414355628,1.0,0.0517711639404296,4,10,1.0,0.0,0.0,1,4,1,4
0.1,0.5300000000000002,0.67700320038633,0.3061862178478972,2.1391056274834087e-06,0.8026537095869932,-0.0601226993865031,0.8985333456323218,0.0384615384615382,0.0439479351043701,4,10,6.0,2.0,0.0,1,4,8,4
0.1,0.5700000000000003,1.3110110602126894,0.408248290463863,1.193351364244361e-06,0.6289963695983135,-0.0165453342157513,0.7635120608848949,-0.0132995566814435,0.0370023250579834,4,10,9.0,2.0,1.0,1,4,7,4
0.1,0.6100000000000003,1.4215601757693317,0.1443375672974064,3.402562524545245e-07,0.2651515151515151,-0.0212765957446807,0.5956985661887295,-0.0204081632653068,0.036527395248413,4,10,4.0,1.0,0.0,1,4,7,4
0.1,0.6400000000000003,1.8624580532189172,0.6123724356957945,3.2217840000591748e-06,-0.0207222452824167,-0.1999999999999999,0.4173840016796137,-0.1707317073170731,0.0300374031066894,4,10,6.0,2.0,0.0,1,4,14,4
0.1,0.6500000000000004,1.361677886530683,0.3818813079129867,3.716763084223106e-06,-0.3435018476295308,-0.1707317073170728,0.3479853479853479,-0.1627906976744184,0.0329978466033935,4,10,5.0,1.0,0.0,1,4,6,4
0.1,0.6700000000000004,0.1443375672974064,0.0,9.999999999999994e-08,0.7644171779141105,1.0,0.9908571428571428,1.0,0.0350253582000732,4,10,2.0,0.0,0.0,1,4,1,4
0.1,0.7000000000000004,0.2282177322938192,0.0,1.0268076332223225e-07,0.8843652132016382,1.0,0.9799164524421594,1.0,0.0329999923706054,4,10,4.0,1.0,0.0,1,4,2,4
0.1,0.7100000000000004,0.9519716382329886,0.1767766952966369,7.560498223698264e-07,0.3396062307266547,-0.032258064516129,0.7034663758137631,-0.030927835051546,0.0395567417144775,4,10,4.0,1.0,0.0,1,4,11,4
0.1,0.7700000000000005,2.0816659994661326,0.5951190357119042,2.6034502667820693e-06,-0.3441486318198647,-0.2142857142857142,0.1918406993686255,-0.088348271446863,0.0349862575531005,4,10,7.0,3.0,0.0,1,4,24,4
0.1,0.7900000000000005,0.2041241452319315,0.0,9.999999999999994e-08,0.8445973290165926,1.0,0.9783491204330176,1.0,0.031480073928833,4,10,3.0,0.0,0.0,1,4,1,4
0.1,0.8100000000000005,0.8955910525085282,0.25,1.4063456705066738e-06,0.4596491228070175,-0.0666666666666666,0.8033908691655602,-0.0638297872340425,0.0320100784301757,4,10,5.0,1.0,0.0,1,4,8,4
0.1,0.8300000000000005,0.8720187306856813,0.3061862178478972,1.6504982516213637e-06,0.7218054066928665,-0.1034482758620689,0.8649548616249815,-0.0989010989010987,0.0357365608215332,4,10,7.0,1.0,0.0,1,4,7,4
0.1,0.8500000000000005,0.1767766952966369,0.0,1.0440479799058227e-07,0.932820153953814,1.0,0.9895437593670487,1.0,0.0350446701049804,4,10,4.0,1.0,1.0,1,4,3,4
0.1,0.8900000000000006,0.5863019699779287,0.1767766952966369,5.354069704960285e-07,0.6082601706442438,-0.032258064516129,0.8872758326216909,-0.030927835051546,0.0379998683929443,4,10,4.0,1.0,0.0,1,4,6,4
