S,E,I,R,Beta
38991,0,10,60999,0.00036162191274909594
38850,121,24,61005,9.867009867009866e-05
38758,166,64,61012,3.104197843025956e-05
38681,199,89,61031,1.2490526806849107e-05
38638,192,118,61052,9.2119727571259e-06
38596,187,145,61072,6.253998091637154e-06
38561,180,155,61104,8.532772958805947e-06
38510,166,183,61141,5.3921130413929816e-06
38472,155,194,61179,5.761319519028968e-06
38429,149,214,61208,3.5263477761999736e-06
38400,122,218,61260,5.614487767584098e-06
38353,124,224,61299,2.793597818758823e-06
38329,106,216,61349,4.469104236904075e-06
38292,116,203,61389,3.087501331484949e-06
38268,111,179,61442,2.3357759710550643e-06
38252,99,166,61483,3.622143074021486e-06
38229,98,160,61513,3.10628057234037e-06
38210,88,164,61538,2.712864082317871e-06
38193,77,146,61584,3.2280174700305477e-06
38175,69,147,61609,1.9601815840940173e-06
38164,54,137,61645,2.103866754085518e-06
38153,49,123,61675,2.557098409293007e-06
38141,43,123,61693,2.7710615062680346e-06
38128,46,109,61717,1.4437125356596996e-06
38122,41,103,61734,1.52805275653077e-06
38116,37,98,61749,2.9448236425433854e-06
38105,37,90,61768,2.915919462304451e-06
38095,38,84,61783,2.500015625097657e-06
38087,36,76,61801,6.909388892190041e-07
38085,26,72,61817,4.740857438770003e-06
38072,26,73,61829,1.799042621478554e-06
38067,24,70,61839,1.5011126997887185e-06
38063,22,68,61847,3.863563658392974e-06
38053,23,63,61861,1.668516634485152e-06
38049,18,55,61878,1.43355816303857e-06
38046,16,50,61888,1.0513588813541502e-06
38044,13,42,61901,2.503367028653539e-06
38040,15,34,61911,7.731799344343416e-07
38039,10,38,61913,6.918107593176532e-07
38038,8,36,61918,2.9210555526345e-06
38034,8,34,61924,7.733019063438595e-07
38033,6,32,61929,1.643309757316015e-06
38031,6,28,61935,9.39083529601791e-07
38030,5,27,61938,9.73890008862399e-07
38029,4,25,61942,-0.0
38029,3,19,61949,4.151956055697106e-06
38026,5,15,61954,5.259559248934939e-06
38023,5,13,61959,-0.0
38023,5,10,61962,-0.0
38023,4,8,61965,-0.0
38023,3,8,61966,-0.0
38023,2,6,61969,8.766623710210487e-06
38021,3,5,61971,-0.0
38021,2,4,61973,1.3150627284921492e-05
38019,2,6,61973,-0.0
38019,1,7,61973,3.7575197363724154e-06
38018,2,5,61975,-0.0
38018,2,4,61976,6.57583250039455e-06
38017,3,3,61977,-0.0
38017,3,3,61977,8.768007294982069e-06
38016,4,3,61977,-0.0
38016,4,3,61977,-0.0
38016,3,4,61977,-0.0
38016,2,3,61979,8.768237934904602e-06
38015,3,3,61979,-0.0
38015,3,2,61980,-0.0
38015,2,2,61981,-0.0
38015,2,1,61982,-0.0
38015,2,1,61982,-0.0
38015,2,0,61983,0.0
38015,0,2,61983,-0.0
38015,0,1,61984,-0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
38015,0,0,61985,0.0
