beta,gamma,delta,init_inf_frac,alpha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,group
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,108.0,179.0,185.0,186.0,164.0,162.0,151.0,122.0,139.0,120.0,134.0,112.0,101.0,102.0,102.0,96.0,79.0,82.0,62.0,66.0,51.0,61.0,53.0,47.0,44.0,55.0,43.0,34.0,36.0,30.0,30.0,19.0,30.0,26.0,28.0,17.0,20.0,26.0,21.0,12.0,11.0,11.0,12.0,4.0,8.0,9.0,5.0,9.0,5.0,5.0,5.0,4.0,5.0,0.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,98.0,188.0,214.0,210.0,198.0,176.0,169.0,142.0,166.0,133.0,117.0,113.0,119.0,99.0,96.0,98.0,89.0,79.0,56.0,82.0,58.0,62.0,76.0,43.0,54.0,47.0,55.0,36.0,38.0,34.0,44.0,29.0,34.0,29.0,31.0,27.0,21.0,17.0,12.0,22.0,15.0,17.0,16.0,15.0,11.0,9.0,14.0,8.0,13.0,11.0,7.0,8.0,9.0,8.0,9.0,4.0,4.0,12.0,5.0,4.0,2.0,7.0,4.0,5.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,92.0,165.0,195.0,168.0,173.0,155.0,129.0,161.0,111.0,126.0,120.0,92.0,91.0,84.0,88.0,68.0,74.0,68.0,60.0,51.0,36.0,45.0,54.0,47.0,39.0,45.0,38.0,36.0,33.0,33.0,27.0,16.0,26.0,21.0,15.0,25.0,22.0,15.0,13.0,11.0,21.0,10.0,12.0,7.0,9.0,8.0,10.0,9.0,7.0,6.0,4.0,6.0,3.0,2.0,2.0,2.0,5.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,106.0,183.0,208.0,192.0,180.0,164.0,145.0,144.0,140.0,114.0,89.0,108.0,82.0,94.0,91.0,81.0,92.0,76.0,75.0,66.0,62.0,57.0,61.0,51.0,58.0,55.0,43.0,44.0,45.0,31.0,34.0,29.0,31.0,28.0,25.0,27.0,22.0,17.0,21.0,18.0,15.0,9.0,14.0,10.0,16.0,8.0,9.0,9.0,6.0,6.0,10.0,6.0,9.0,9.0,11.0,13.0,3.0,4.0,9.0,7.0,4.0,6.0,3.0,1.0,5.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,110.0,188.0,209.0,212.0,197.0,175.0,169.0,144.0,134.0,131.0,112.0,110.0,91.0,106.0,86.0,87.0,85.0,82.0,71.0,73.0,66.0,67.0,61.0,58.0,58.0,38.0,39.0,35.0,26.0,39.0,28.0,25.0,42.0,28.0,30.0,23.0,24.0,25.0,15.0,18.0,15.0,26.0,14.0,15.0,15.0,12.0,11.0,16.0,9.0,11.0,10.0,10.0,8.0,8.0,6.0,10.0,4.0,4.0,6.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,4.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,97.0,156.0,182.0,180.0,160.0,143.0,148.0,132.0,125.0,115.0,96.0,99.0,106.0,96.0,86.0,89.0,77.0,58.0,77.0,58.0,46.0,67.0,44.0,41.0,39.0,43.0,32.0,32.0,22.0,17.0,23.0,16.0,21.0,22.0,16.0,14.0,17.0,8.0,15.0,9.0,12.0,7.0,5.0,9.0,3.0,6.0,3.0,5.0,3.0,3.0,5.0,7.0,1.0,3.0,5.0,4.0,2.0,2.0,3.0,3.0,1.0,5.0,7.0,2.0,2.0,5.0,5.0,7.0,6.0,4.0,5.0,4.0,5.0,4.0,2.0,6.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,99.0,172.0,191.0,163.0,141.0,135.0,108.0,133.0,148.0,104.0,114.0,105.0,97.0,96.0,84.0,86.0,73.0,62.0,56.0,62.0,51.0,48.0,58.0,55.0,42.0,43.0,27.0,40.0,43.0,28.0,38.0,29.0,28.0,30.0,27.0,18.0,21.0,17.0,23.0,14.0,10.0,8.0,12.0,9.0,8.0,10.0,4.0,11.0,10.0,7.0,6.0,6.0,2.0,4.0,6.0,4.0,2.0,5.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,100.0,181.0,196.0,159.0,132.0,159.0,128.0,153.0,114.0,128.0,106.0,99.0,82.0,94.0,68.0,80.0,78.0,78.0,64.0,85.0,61.0,56.0,59.0,46.0,50.0,44.0,44.0,37.0,42.0,36.0,24.0,33.0,24.0,29.0,31.0,29.0,20.0,16.0,10.0,12.0,9.0,12.0,12.0,16.0,12.0,13.0,10.0,12.0,10.0,9.0,8.0,8.0,10.0,7.0,3.0,3.0,4.0,3.0,5.0,3.0,6.0,4.0,4.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,4.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,105.0,184.0,184.0,178.0,158.0,168.0,163.0,128.0,126.0,137.0,107.0,90.0,121.0,95.0,88.0,81.0,76.0,75.0,59.0,57.0,52.0,57.0,50.0,52.0,43.0,47.0,34.0,33.0,41.0,28.0,27.0,28.0,33.0,23.0,21.0,22.0,21.0,18.0,15.0,25.0,26.0,18.0,16.0,21.0,13.0,14.0,14.0,15.0,14.0,8.0,10.0,10.0,11.0,9.0,5.0,11.0,5.0,8.0,5.0,6.0,3.0,6.0,1.0,5.0,5.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.8299999999999996,0.3,0.2,0.0001,0.3200000000000001,0.0,120.0,200.0,156.0,158.0,130.0,139.0,127.0,98.0,93.0,89.0,75.0,84.0,73.0,67.0,64.0,72.0,63.0,41.0,48.0,41.0,43.0,33.0,36.0,36.0,30.0,31.0,38.0,24.0,23.0,12.0,20.0,21.0,26.0,16.0,19.0,17.0,10.0,19.0,12.0,13.0,16.0,5.0,12.0,12.0,7.0,8.0,11.0,7.0,10.0,5.0,10.0,10.0,8.0,5.0,11.0,6.0,9.0,5.0,10.0,5.0,1.0,3.0,5.0,5.0,1.0,3.0,2.0,3.0,6.0,6.0,5.0,4.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5852
0.3999999999999998,0.3,0.2,0.0001,0.5900000000000003,0.0,106.0,249.0,354.0,407.0,461.0,471.0,459.0,554.0,561.0,645.0,612.0,644.0,661.0,725.0,714.0,771.0,796.0,826.0,781.0,820.0,865.0,899.0,869.0,931.0,873.0,857.0,833.0,842.0,834.0,811.0,781.0,751.0,739.0,690.0,646.0,676.0,594.0,567.0,548.0,531.0,545.0,481.0,481.0,398.0,413.0,384.0,364.0,343.0,338.0,324.0,270.0,272.0,228.0,248.0,190.0,207.0,174.0,190.0,147.0,154.0,121.0,132.0,120.0,101.0,97.0,85.0,80.0,78.0,69.0,55.0,58.0,55.0,54.0,40.0,37.0,40.0,37.0,24.0,34.0,30.0,19.0,27.0,29.0,12.0,18.0,11.0,18.0,16.0,14.0,17.0,10.0,9.0,10.0,7.0,7.0,4.0,6.0,9.0,6.0,5.0,6.0,6.0,6.0,8.0,1.0,7.0,3.0,3.0,8.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2439
0.3999999999999998,0.3,0.2,0.0001,0.5900000000000003,0.0,104.0,261.0,287.0,320.0,360.0,350.0,408.0,428.0,454.0,515.0,495.0,573.0,546.0,550.0,612.0,633.0,635.0,663.0,726.0,740.0,797.0,776.0,791.0,867.0,839.0,852.0,847.0,835.0,865.0,819.0,842.0,746.0,777.0,734.0,718.0,712.0,677.0,655.0,608.0,573.0,582.0,565.0,501.0,475.0,459.0,446.0,392.0,408.0,399.0,356.0,332.0,301.0,328.0,221.0,238.0,240.0,207.0,185.0,182.0,164.0,165.0,153.0,165.0,125.0,111.0,113.0,83.0,93.0,82.0,78.0,72.0,81.0,80.0,56.0,54.0,56.0,42.0,45.0,40.0,39.0,36.0,30.0,28.0,29.0,22.0,23.0,14.0,12.0,18.0,18.0,9.0,15.0,14.0,11.0,7.0,10.0,2.0,1.0,3.0,4.0,4.0,0.0,1.0,2.0,5.0,6.0,2.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2439
0.3999999999999998,0.3,0.2,0.0001,0.5900000000000003,0.0,96.0,224.0,281.0,317.0,324.0,356.0,351.0,393.0,420.0,426.0,485.0,537.0,546.0,600.0,614.0,606.0,666.0,653.0,766.0,731.0,786.0,773.0,806.0,759.0,796.0,885.0,822.0,826.0,830.0,782.0,842.0,796.0,795.0,759.0,755.0,758.0,730.0,669.0,617.0,634.0,615.0,562.0,557.0,529.0,484.0,432.0,452.0,405.0,378.0,368.0,358.0,327.0,290.0,286.0,254.0,221.0,228.0,197.0,170.0,215.0,153.0,166.0,141.0,130.0,103.0,105.0,105.0,110.0,87.0,70.0,76.0,79.0,48.0,66.0,45.0,55.0,31.0,40.0,34.0,25.0,38.0,26.0,26.0,20.0,20.0,15.0,20.0,22.0,16.0,8.0,11.0,14.0,12.0,14.0,6.0,9.0,8.0,3.0,4.0,6.0,10.0,2.0,4.0,3.0,4.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439
